OrderId,Address,CustomerId,CustomerName,DateFilled,DatePlaced,InvoiceNumber,PaymentStatus,Status,Term
1,"7710 Medina Drive, East Brisbane WA 4169",1,Dawn Raji,2017-01-23 18:27:01,2017-01-23 18:24:56,1,0,1,1
2,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:46,2017-01-23 18:28:44,1689,0,1,0
3,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:47,2017-01-23 18:27:46,1692,1,1,2
4,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:47,2017-01-23 18:29:06,1691,0,1,2
5,"6984 Wardlow Lane, Beverly Hills WA 90210",10,Lydia Gonzalez,2017-01-23 18:30:48,2017-01-23 18:30:19,1696,1,1,1
6,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:30:11,1701,0,1,0
7,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:27:45,1697,0,1,0
8,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:29:59,1705,0,1,0
9,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:27:33,1700,0,1,0
10,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:28:55,1698,0,1,1
11,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:28:58,1702,1,1,0
12,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:30:13,1699,0,1,2
13,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:30:31,1703,0,1,2
14,"1, rue Pierre-Demoulin, Paris WA 75007",9,Xavier Smith,2017-01-23 18:30:48,2017-01-23 18:28:40,1704,0,1,0
15,"8128 Honey Trail Lane, Newton WA V2M1P1",8,Eduardo Hall,2017-01-23 18:30:49,2017-01-23 18:29:51,1707,0,1,1
16,"8128 Honey Trail Lane, Newton WA V2M1P1",8,Eduardo Hall,2017-01-23 18:30:49,2017-01-23 18:27:25,1706,1,1,0
17,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:47,2017-01-23 18:28:37,1695,0,1,0
18,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:46,2017-01-23 18:28:39,1688,1,1,0
19,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:46,2017-01-23 18:27:22,1687,0,1,2
20,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:47,2017-01-23 18:28:09,1693,0,1,0
21,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:29:55,1678,1,1,0
22,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:28:31,1672,0,1,1
23,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:28:34,1674,1,1,1
24,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:28:49,1675,1,1,0
25,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:28:27,1673,0,1,0
26,"6900 Chisholm Way, Woodburn WA 97071",14,Chloe Mitchell,2017-01-23 18:30:44,2017-01-23 18:30:08,1676,1,1,1
27,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:27:46,1684,1,1,2
28,"363, rue Jean Mermoz, Paris WA 75019",7,Andres Pal,2017-01-23 18:30:50,2017-01-23 18:30:12,1708,0,1,2
29,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:27:24,1680,0,1,0
30,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:28:14,1683,1,1,0
31,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:28:35,1682,1,1,1
32,"5690 Morgan Territory Rd, London WA SW8 4BG",13,Daniel Shimshoni,2017-01-23 18:30:45,2017-01-23 18:27:12,1679,0,1,1
33,"Hansaallee 4626, Saarbrücken WA 66001",12,Lance Blanco,2017-01-23 18:30:46,2017-01-23 18:30:37,1686,1,1,1
34,"Hansaallee 4626, Saarbrücken WA 66001",12,Lance Blanco,2017-01-23 18:30:46,2017-01-23 18:30:35,1685,0,1,0
35,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:47,2017-01-23 18:28:48,1694,1,1,1
36,"Auf Der Steige 100, Dresden WA 01071",11,Linda Gill,2017-01-23 18:30:46,2017-01-23 18:29:04,1690,1,1,0
